Sample,Group,Order,BioSample
NTC,1,1,All
WATER,1,5,All
s1,1,7,All
s11,1,9,All
s13,1,11,All
s17,1,13,All
s19,1,16,All
s21,1,18,All
s23,1,20,All
s25,1,22,All
s27,1,24,All
s29,1,26,All
s3,1,27,All
s33.H2,1,29,All
s33.H7,1,30,All
s35.A3,1,31,All
s35.A8,1,32,All
s37.C3,1,33,All
s37.C8,1,34,All
s39.D3,1,35,All
s39.D8,1,36,All
s41.E3,1,37,All
s41.E8,1,38,All
s43.F3,1,39,All
s43.F8,1,40,All
s45.G3,1,41,All
s45.G8,1,42,All
s49.H3,1,43,All
s49.H8,1,44,All
s5.C1,1,45,All
s5.C6,1,46,All
s51.A4,1,47,All
s51.A9,1,48,All
s53.B4,1,49,All
s53.B9,1,50,All
s55.C4,1,51,All
s55.C9,1,52,All
s57.D4,1,53,All
s57.D9,1,54,All
s59.E4,1,55,All
s59.E9,1,56,All
s61.F4,1,57,All
s61.F9,1,58,All
s65.G4,1,59,All
s65.G9,1,60,All
s67.H4,1,61,All
s67.H9,1,62,All
s69.B10,1,63,All
s69.B5,1,64,All
s7.D1,1,65,All
s7.D6,1,66,All
s71.C10,1,67,All
s71.C5,1,68,All
s73.D10,1,69,All
s73.D5,1,70,All
s75.E10,1,71,All
s75.E5,1,72,All
s77.F10,1,73,All
s77.F5,1,74,All
s9.E1,1,75,All
s9.E6,1,76,All


